ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,RF_erf,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret
35.93120086788062,-0.04499276293911159,-6.664589392099588,-8.060342171275522,2014-07-01,-0.00020945499999999994,-0.0004776129999999976,1.0,1.0,1,-0.00020945499999999994,0.010827145000000007,0.021976699999999978
35.74780630509972,-0.9161741669557992,-5.773191048445676,-8.182621250767879,2014-07-02,0.00030423200000000015,-0.0033105709999999974,1.0,1.0,1,0.00030423200000000015,0.011131377000000007,0.02228093199999998
35.59169089189461,-3.164681940390386,-4.331220065358495,-8.252698658892967,2014-07-03,0.00155788,-0.0037498219999999973,1.0,1.0,1,0.00155788,0.012689257000000006,0.02383881199999998
35.43545942890654,-3.2929571527558035,-4.487427850618571,-8.333314088768887,2014-07-04,0.0005424449999999999,-0.001656537999999997,1.0,1.0,1,0.0005424449999999999,0.013231702000000005,0.02438125699999998
34.95848010641734,-3.7002460899029295,-4.6300489306066135,-8.56715994991373,2014-07-07,-0.000318554,-0.001197454999999997,1.0,1.0,1,-0.000318554,0.012913148000000004,0.02406270299999998
34.79604377557943,-3.2871087376277552,-5.005820291902712,-8.675210021503261,2014-07-08,-0.00019943799999999983,-0.00025503899999999705,1.0,1.0,1,-0.00019943799999999983,0.012713710000000005,0.02386326499999998
34.63451921001641,-3.2420529813940533,-4.8837317733516565,-8.774214796986428,2014-07-09,-0.0007857539999999999,-0.0009066159999999975,1.0,1.0,1,-0.0007857539999999999,0.011927956000000005,0.02307751099999998
34.46031704818742,-4.554003784608713,-7.405075229527514,-8.974561078870494,2014-07-10,-0.0005412199999999998,-0.0016599759999999973,1.0,1.0,1,-0.0005412199999999998,0.011386736000000005,0.022536290999999983
34.31545801304543,-4.485067955589538,-7.515676132831653,-9.158011713466179,2014-07-11,8.500100000000001e-05,-0.0026544499999999974,1.0,1.0,1,8.500100000000001e-05,0.011471737000000004,0.022621291999999984
33.91027983073641,-4.079382261536737,-7.308232012682871,-9.65231945986686,2014-07-14,0.000424431,-0.0009909069999999975,1.0,1.0,1,0.000424431,0.011896168000000004,0.023045722999999983
33.77559363553334,-4.300298029629721,-6.855446591551533,-9.788209137587316,2014-07-15,-0.001784508,0.00028260000000000264,1.0,1.0,1,-0.001784508,0.010111660000000003,0.021261214999999983
33.601374545439626,-4.766672978729146,-6.225232878602887,-9.875421854515736,2014-07-16,-0.001273353,0.0014016450000000026,1.0,1.0,1,-0.001273353,0.008838307000000004,0.01998786199999998
33.416874031289666,-3.784471976153816,-6.715330771737187,-10.004612547312831,2014-07-17,-5.417300000000003e-05,0.0022250150000000025,1.0,1.0,1,-5.417300000000003e-05,0.008784134000000004,0.01993368899999998
33.234709072490034,-3.372516582631281,-6.662052791574593,-10.130212148112818,2014-07-18,7.200000000000045e-06,0.0021127580000000028,1.0,1.0,1,7.200000000000045e-06,0.008791334000000005,0.01994088899999998
32.69980275048823,-3.184454908929748,-6.413219385344245,-10.457804404255539,2014-07-21,5.136000000000001e-05,0.004724368000000002,-1.0,1.0,1,5.136000000000001e-05,0.008842694000000005,0.01999224899999998
32.52325850398702,-1.4560223611586842,-7.559819915071733,-10.594735972847387,2014-07-22,-0.0010362969999999998,0.005233738000000002,-1.0,1.0,1,-0.0010362969999999998,0.007806397000000005,0.01895595199999998
32.36050419166338,-1.451215290455119,-7.271463608682715,-10.71093244170534,2014-07-23,-9.284799999999998e-05,0.006215142000000002,-1.0,0.9047619047619048,1,-9.284799999999998e-05,0.007713549000000005,0.01886310399999998
32.26230554654671,0.9337650412401866,-6.690918246362933,-10.77028062709131,2014-07-24,0.00028181299999999995,0.005364890000000002,-1.0,0.8095238095238095,1,0.00028181299999999995,0.007995362000000006,0.01914491699999998
32.157927706061265,-0.3576833696548434,-7.026654530060536,-10.838554928422367,2014-07-25,0.001228396,0.004937550000000002,-1.0,0.7142857142857143,1,0.001228396,0.009223758000000006,0.02037331299999998
31.840996718676852,-0.7390283974451891,-6.554263110359878,-11.002164905909298,2014-07-28,-0.000343945,0.004729648000000003,-1.0,0.6190476190476191,1,-0.000343945,0.008879813000000005,0.020029367999999978
31.763213425833978,-1.5813605934171688,-5.930307214846571,-11.021381013963024,2014-07-29,0.0010843460000000001,0.004230653000000003,-1.0,0.5238095238095238,1,0.0010843460000000001,0.009964159000000005,0.021113713999999978
31.73653363700183,-4.0277296154050655,-4.350991412967328,-10.999458217010245,2014-07-30,0.0004654090000000001,0.002269433000000002,-1.0,0.42857142857142855,1,0.0004654090000000001,0.010429568000000005,0.021579122999999978
31.690736868196296,-1.4334181253232563,-4.947478941721294,-11.001929259572492,2014-07-31,0.0002241960000000001,0.003368558000000002,-1.0,0.3333333333333333,1,0.0002241960000000001,0.010653764000000005,0.021803318999999977
31.675282566711108,-2.0213410277598687,-5.476670174656488,-11.004860519517292,2014-08-01,-0.0012750779999999998,0.003458856000000002,-1.0,0.23809523809523808,1,-0.0012750779999999998,0.009378686000000004,0.02052824099999998
31.583939298914398,-2.5359437128755964,-5.5342072888739855,-10.982520628226638,2014-08-04,0.00010319400000000012,0.0022189780000000017,-1.0,0.14285714285714285,1,0.00010319400000000012,0.009481880000000005,0.02063143499999998
31.589068518990732,-4.412155164180794,-4.655404745579618,-10.947962841183653,2014-08-05,0.0017747300000000004,0.006192717000000002,-1.0,0.047619047619047616,1,0.0017747300000000004,0.011256610000000005,0.022406164999999978
