ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,RF,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
0.970633605,12.52959855,-0.256291507,-7.044128766,25/11/2015,-0.000564758,-0.000938602,1,1,1,-0.000564758,0.008002127,0.028581852,
0.944153013,12.64583634,-0.073449296,-6.985994608,26/11/2015,-0.000762094,-0.000100306,1,1,1,-0.000762094,0.007240033,0.027819758,
0.950427901,11.4693329,-0.840740158,-6.961113458,27/11/2015,-0.000501349,-0.001399742,1,1,1,-0.000501349,0.006738684,0.027318409,
0.994144704,11.04964943,-1.392862206,-6.901196079,30/11/2015,-0.000895294,-0.002053414,1,1,1,-0.000895294,0.00584339,0.026423115,
0.991061653,13.3265663,-2.182970093,-6.915620974,01/12/2015,0.000780554,-0.005519783,1,1,1,0.000780554,0.006623944,0.027203669,
1.000397608,11.19282489,-2.874702877,-6.949913175,02/12/2015,0.000772799,0.002364672,1,1,1,0.000772799,0.007396743,0.027976468,
1.027723254,11.37073897,-3.953017577,-7.024847499,03/12/2015,-0.007884455,-0.000696395,1,1,1,-0.007884455,-0.000487712,0.020092013,
1.077129228,12.41948527,-4.411292813,-7.096029742,04/12/2015,0.001633738,-0.006053872,1,1,1,0.001633738,0.001146026,0.021725751,
1.20346709,11.46680782,-4.528306912,-7.303740141,07/12/2015,0.002124305,-0.005142421,1,1,1,0.002124305,0.003270331,0.023850056,
1.242838152,11.32699797,-3.687443679,-7.348332253,08/12/2015,1.15E-05,-0.00308293,1,1,1,1.15E-05,0.003281875,0.0238616,
1.291459431,11.19035444,-2.333281984,-7.341062508,09/12/2015,0.004202465,-0.000754809,1,1,1,0.004202465,0.00748434,0.028064065,
1.325583157,11.33018997,-2.195267734,-7.322408525,10/12/2015,-0.002180058,-0.003627649,1,1,1,-0.002180058,0.005304282,0.025884007,
1.384287228,11.11192604,-1.900073886,-7.259419449,11/12/2015,0.000200394,-0.003892983,1,1,1,0.000200394,0.005504676,0.026084401,
1.536724801,10.7265149,-0.910543073,-7.02649956,14/12/2015,-0.000351956,-0.00225937,1,1,1,-0.000351956,0.00515272,0.025732445,
1.571514692,11.19085161,-1.172283974,-6.943394748,15/12/2015,-0.000187516,-0.001295965,1,1,1,-0.000187516,0.004965204,0.025544929,
1.624395707,11.45315025,-1.275089841,-6.842876068,16/12/2015,-0.001856072,0.00385047,1,1,1,-0.001856072,0.003109132,0.023688857,
