ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,SVM,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
3.804431516,7.342032637,0.237753654,-10.28586807,28/08/2015,0.001202007,-0.00238576,-1,-1,0,0,0,-0.010976104,
4.002301223,8.448360311,0.542257607,-10.1336097,31/08/2015,-0.000385563,0.002068648,-1,-1,0,0,0,-0.011361667,
4.041980931,10.91109907,1.040095176,-10.12797109,01/09/2015,-0.002881063,0.000736866,-1,-1,0,0,0,-0.01424273,
4.078834292,11.44160447,0.384743209,-10.19052855,02/09/2015,0.001078236,0.000807129,-1,-1,0,0,0,-0.013164494,
4.144095587,11.49577042,0.701185361,-10.2324899,03/09/2015,-0.000713869,0.000834282,-1,-1,0,0,0,-0.013878363,
4.215034815,11.22771348,0.531180282,-10.28046928,04/09/2015,0.000701913,-0.00261738,-1,-1,0,0,0,-0.01317645,
4.400539133,10.38959422,0.171658939,-10.40789181,07/09/2015,0.000715432,-0.002770653,-1,-1,0,0,0,-0.012461018,
4.401030608,10.26334616,0.789109828,-10.44772536,08/09/2015,0.001425239,-0.005132754,-1,-1,0,0,0,-0.011035779,
4.398477431,10.1399218,0.405845445,-10.49273606,09/09/2015,0.000556406,-0.010705319,-1,-1,0,0,0,-0.010479373,
4.403879721,10.07616751,-0.105790852,-10.53390297,10/09/2015,0.002444887,-0.013350216,-1,-1,0,0,0,-0.008034486,
4.397417332,11.56247824,-0.81453706,-10.59424975,11/09/2015,0.002472758,-0.012934939,-1,-1,0,0,0,-0.005561728,
4.31775463,11.03876236,-0.748941268,-10.7658619,14/09/2015,-0.000795573,-0.01025302,-1,-1,0,0,0,-0.006357301,
4.217466169,11.29903332,-1.964389658,-10.86851308,15/09/2015,-0.002107776,-0.01332448,-1,-1,0,0,0,-0.008465077,
4.133056384,10.14208561,-2.121301228,-10.96302044,16/09/2015,0.000963031,-0.019561401,-1,-1,0,0,0,-0.007502046,
4.037609179,10.87800522,-2.753296122,-11.08651336,17/09/2015,0.005182547,-0.015815399,-1,-1,0,0,0,-0.002319499,
3.946842164,10.78982416,-2.745038662,-11.20056756,18/09/2015,-0.004601872,-0.010711419,-1,-1,0,0,0,-0.006921371,
3.687115856,10.41006904,-2.658174027,-11.49507366,21/09/2015,-0.004370338,-0.008561849,-1,-1,0,0,0,-0.011291709,
3.599943695,10.32535652,-2.768301045,-11.57799956,22/09/2015,-0.002516339,-0.019496295,-1,-1,0,0,0,-0.013808048,
3.513525652,10.41447727,-2.733652631,-11.67274509,23/09/2015,0.001536096,-0.021810602,-1,-1,0,0,0,-0.012271952,
3.438804602,10.4782422,-2.135714714,-11.75039587,24/09/2015,-5.16E-05,-0.020970971,-1,-1,0,0,0,-0.012323566,
3.386922205,9.461243519,-1.966884866,-11.81777425,25/09/2015,-0.000134066,-0.020017364,-1,-1,0,0,0,-0.012457632,
3.250179732,9.319611016,-1.5129701,-11.97566523,28/09/2015,-0.000933377,-0.017728904,-1,-1,0,0,0,-0.013391009,
3.253055642,11.22842905,0.665147768,-11.93336684,29/09/2015,-0.000356418,-0.020753771,-1,-1,0,0,0,-0.013747427,
3.250947554,10.49215751,-0.599678656,-11.93274977,30/09/2015,0.001573345,-0.021031761,-1,-1,0,0,0,-0.012174082,
3.225496712,10.63729877,0.155924144,-11.85986054,01/10/2015,-0.000253546,-0.020786669,-1,-1,0,0,0,-0.012427628,
3.220732145,12.24769952,-0.654452607,-11.81534165,02/10/2015,-0.000643606,-0.021270732,-1,-1,0,0,0,-0.013071234,
3.205526992,9.907987434,-2.390207533,-11.74788147,05/10/2015,0.000729066,-0.01955583,-1,-1,0,0,0,-0.012342168,
3.175104311,9.059936799,-3.005525855,-11.79309585,06/10/2015,-0.00273623,-0.02041381,-1,-1,0,0,0,-0.015078398,
3.137519112,8.026721462,-3.554117077,-11.87148868,07/10/2015,0.001271966,-0.0242884,-1,-1,0,0,0,-0.013806432,
3.12477003,7.602821068,-3.347699727,-11.9072346,08/10/2015,-0.001805695,-0.020537347,-1,-1,0,0,0,-0.015612127,
3.114492918,7.665278224,-3.271380708,-11.93917933,09/10/2015,-0.003127678,-0.021871347,-1,-1,0,0,0,-0.018739805,
