ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,LSTM,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
69.0561445,8.339935036,12.72972284,21.70784138,26/10/2017,-0.011426094,0.012231768,-1,-1,0,0,0,0.16507996,
69.14818183,6.566019884,13.8224495,21.98999716,27/10/2017,-0.005521708,0.004742843,-1,-1,0,0,0,0.159558252,
69.39561658,7.391196938,14.51216646,22.77221728,30/10/2017,0.004164527,0.004391942,-1,-1,0,0,0,0.163722779,
69.51142263,5.989242388,13.48264712,23.02350039,31/10/2017,0.000756986,0.013242015,-1,-1,0,0,0,0.164479765,
69.63356892,5.767157702,13.62213085,23.22624621,01/11/2017,-0.003700654,0.009627572,-1,-1,0,0,0,0.160779111,
69.77578308,5.541143054,13.72614473,23.42151569,02/11/2017,0.004495636,0.010814851,-1,-1,0,0,0,0.165274747,
69.95358938,5.514726,13.84504915,23.60934191,03/11/2017,-0.004677014,0.005673743,-1,-1,0,0,0,0.160597733,
70.36382894,6.150910816,13.68234153,24.09208917,06/11/2017,0.000306572,0.004255257,-1,-1,0,0,0,0.160904305,
70.47074384,5.952501475,13.39750561,24.22441823,07/11/2017,-0.001675064,0.001196353,-1,-1,0,0,0,0.159229241,
70.57570396,5.934207553,13.28791204,24.35002541,08/11/2017,3.75E-05,-0.001924387,-1,-1,0,0,0,0.159266783,
70.65755183,6.376891054,12.16581663,24.4188335,09/11/2017,0.003170268,-0.002879914,-1,-1,0,0,0,0.162437051,
70.73914682,6.211666639,11.82415351,24.46280458,10/11/2017,0.001101062,-0.006949385,-1,-1,0,0,0,0.163538113,
70.8808985,6.130496371,11.38828547,24.54312365,13/11/2017,2.06E-05,-0.003086724,-1,-1,0,0,0,0.163558703,
70.93762861,6.902684438,11.4345582,24.55403949,14/11/2017,0.005658499,-0.007091182,-1,-1,0,0,0,0.169217202,
70.97021109,7.25816732,10.75131237,24.54496973,15/11/2017,0.0006921,-0.00963116,-1,-1,0,0,0,0.169909302,
71.00792869,5.310517189,11.99099911,24.58196289,16/11/2017,-0.000108339,-0.005073449,-1,-1,0,0,0,0.169800963,
71.05623828,2.713877459,13.70775557,24.69535292,17/11/2017,-1.60E-05,-0.002764499,-1,-1,0,0,0,0.169784933,
71.14677804,2.671361587,12.85528994,24.95475688,20/11/2017,0.000917654,0.001344153,-1,-1,0,0,0,0.170702587,
71.17846954,2.226140262,12.9259753,25.02652333,21/11/2017,1.21E-05,-0.002878726,-1,-1,0,0,0,0.170714691,
71.19393588,3.030546721,12.33291298,25.07192112,22/11/2017,0.00337762,-0.002599832,-1,-1,0,0,0,0.174092311,
71.27364605,9.963528279,16.24922982,25.25619032,23/11/2017,-0.00073797,7.77E-05,-1,-1,0,0,0,0.173354341,
71.3468032,11.28948959,15.68909192,25.40576686,24/11/2017,-0.002677503,-0.001264509,-1,-1,0,0,0,0.170676838,
71.48972024,8.095688506,16.0638787,25.80560087,27/11/2017,0.001113182,0.006474638,-1,-1,0,0,0,0.17179002,
71.52998528,7.834149321,15.91948403,25.93381774,28/11/2017,-0.003324398,0.006068553,-1,-1,0,0,0,0.168465622,
71.62282079,6.659963132,15.43697004,26.03784449,29/11/2017,0.000406085,0.000919134,-1,-1,0,0,0,0.168871707,
71.69083208,4.637753126,13.43523315,25.99185005,30/11/2017,0.005149419,3.79E-05,-1,-1,0,0,0,0.174021126,
