ESI_Global_normalised_madiff,EDI_EURUSD_spread_spotvma,EDI_G10_normalised_spotvma,EDI_Global_normalised_madiff,Date,LSTM,target,Predictions,scaled_signal,trend_buy_sell,strat_returns,strat_returns_sum,nonfiltered_ret,
4.397417332,11.56247824,-0.81453706,-10.59424975,11/09/2015,0.008478635,0.000281684,1,1,1,0.008478635,-0.033326933,-0.025991921,
4.31775463,11.03876236,-0.748941268,-10.7658619,14/09/2015,-0.002651006,0.021168811,1,1,1,-0.002651006,-0.035977939,-0.028642927,
4.217466169,11.29903332,-1.964389658,-10.86851308,15/09/2015,-0.006922605,0.003895092,1,1,1,-0.006922605,-0.042900544,-0.035565532,
4.133056384,10.14208561,-2.121301228,-10.96302044,16/09/2015,0.003151896,-0.017378455,-1,1,1,0.003151896,-0.039748648,-0.032413636,
4.037609179,10.87800522,-2.753296122,-11.08651336,17/09/2015,0.017539068,-0.004160774,-1,1,1,0.017539068,-0.02220958,-0.014874568,
3.946842164,10.78982416,-2.745038662,-11.20056756,18/09/2015,-0.015904397,0.012097386,-1,0.904761905,1,-0.015904397,-0.038113977,-0.030778965,
3.687115856,10.41006904,-2.658174027,-11.49507366,21/09/2015,-0.013927499,0.018353411,1,0.80952381,1,-0.013927499,-0.052041476,-0.044706464,
3.599943695,10.32535652,-2.768301045,-11.57799956,22/09/2015,-0.007415902,-0.014807229,1,0.714285714,1,-0.007415902,-0.059457378,-0.052122366,
3.513525652,10.41447727,-2.733652631,-11.67274509,23/09/2015,0.005636454,-0.022494596,1,0.714285714,1,0.005636454,-0.053820924,-0.046485912,
3.438804602,10.4782422,-2.135714714,-11.75039587,24/09/2015,-0.004615852,-0.018739888,1,0.714285714,1,-0.004615852,-0.058436776,-0.051101764,
3.386922205,9.461243519,-1.966884866,-11.81777425,25/09/2015,0.002451574,-0.027702375,-1,0.714285714,1,0.002451574,-0.055985202,-0.04865019,
3.250179732,9.319611016,-1.5129701,-11.97566523,28/09/2015,0.006021428,-0.04294859,-1,0.714285714,1,0.006021428,-0.049963774,-0.042628762,
3.253055642,11.22842905,0.665147768,-11.93336684,29/09/2015,0.001513299,-0.025374482,-1,0.619047619,1,0.001513299,-0.048450475,-0.041115463,
3.250947554,10.49215751,-0.599678656,-11.93274977,30/09/2015,-0.01023005,-0.024744876,-1,0.523809524,1,-0.01023005,-0.058680525,-0.051345513,
3.225496712,10.63729877,0.155924144,-11.85986054,01/10/2015,0.001656506,-0.022180081,-1,0.428571429,1,0.001656506,-0.057024019,-0.049689007,
3.220732145,12.24769952,-0.654452607,-11.81534165,02/10/2015,-0.001439508,-0.024389019,-1,0.333333333,1,-0.001439508,-0.058463527,-0.051128515,
3.205526992,9.907987434,-2.390207533,-11.74788147,05/10/2015,-0.00383291,-0.047335902,1,0.238095238,1,-0.00383291,-0.062296437,-0.054961425,
3.175104311,9.059936799,-3.005525855,-11.79309585,06/10/2015,0.011004112,-0.041327735,-1,0.142857143,1,0.011004112,-0.051292325,-0.043957313,
3.137519112,8.026721462,-3.554117077,-11.87148868,07/10/2015,-0.004080509,-0.065185489,-1,0.142857143,1,-0.004080509,-0.055372834,-0.048037822,
3.12477003,7.602821068,-3.347699727,-11.9072346,08/10/2015,0.00584205,-0.073829092,-1,0.047619048,1,0.00584205,-0.049530784,-0.042195772,
3.114492918,7.665278224,-3.271380708,-11.93917933,09/10/2015,0.010518924,-0.078239443,-1,-0.047619048,0,0,-0.049530784,-0.031676848,
