,DDMMYY,CCY,logret,Linear,SVM_erf,RF_erf,LSTM1_erf,LSTM2_erf,Date,EURUSD_vol,EDI_EURUSD_spread,EDI_G10_normalised,EDI_Global_normalised,EDI_EURUSD_spread_spotvma,EDI_EURUSD_spread_madiff,EDI_G10_normalised_spotvma,EDI_G10_normalised_madiff,EDI_Global_normalised_spotvma,EDI_Global_normalised_madiff,ESI_EURUSD_spread,ESI_G10_normalised,ESI_Global_normalised,ESI_EURUSD_spread_spotvma,ESI_EURUSD_spread_madiff,ESI_G10_normalised_spotvma,ESI_G10_normalised_madiff,ESI_Global_normalised_spotvma,ESI_Global_normalised_madiff
143,2000-09-15,0.8621416666666667,-0.013036324999999998,0.003208597,-0.003555997,-0.006024308999999999,-0.011442549,-0.007837938,2000-09-15,0.10771451332268274,-56.58388864199995,-11.256010653999992,-9.940121981999997,-0.7005163671669994,-0.008948928665454048,-7.742749025882298,-7.568540886745394,-6.83757969076899,-6.683737427190034,22.303902277000002,39.88115396300002,32.623907837,16.708568178563944,24.633077604903995,2.4380939558433194,13.922049342791858,1.994429562326518,11.38862870013828
144,2000-09-18,0.8538374999999999,-0.00011716400000000028,-0.000612006,-0.00010408400000000006,-2.7150000000000064e-05,-0.00018236599999999978,-0.000197106,2000-09-18,0.10756017533867895,-56.58388864199995,-11.256010653999992,-9.940121981999997,-0.6593548986014053,-0.08510354532614173,-7.436550734822406,-7.778635166725955,-6.567177639852213,-6.869270546929154,22.303902277000002,39.88115396300002,32.623907837,16.12876491620441,24.828665422284068,2.4750880592356905,13.4666193020247,2.024691781515899,11.016074092167592
145,2000-09-19,0.8527083333333333,-0.0023461790000000008,-0.0017773480000000002,-0.0010842080000000006,-0.0010842080000000006,-0.002675373000000001,-0.002339608000000001,2000-09-19,0.1052294105173888,-56.550015570999946,-11.525739081999992,-10.178317693999997,-0.6132625791015247,-0.10658096048393162,-7.603490409491545,-7.849200241389542,-6.71460116102028,-6.931586181811471,22.549920885000002,39.628174377000015,32.416963407,16.184722699526727,24.886284616315372,2.237234356944551,13.313500662947057,1.830120750667465,10.890818730343621
146,2000-09-20,0.8485895833333337,-0.002292836999999999,-0.0017730820000000003,-0.0010595510000000002,-0.0010595510000000002,-0.0024110559999999995,-0.0022927489999999997,2000-09-20,0.10518941620130089,-56.69988194599995,-13.066144650999993,-11.538641500999997,-0.7483502521366532,-0.13301647023878616,-9.01330351432052,-7.976734974135399,-7.959599470877582,-7.044211412896905,24.225174271000004,38.45837848300001,31.460037399999997,17.641100769475273,25.003100758293627,1.1042873112375702,13.117732673576057,0.9033381400172757,10.730674998091928
147,2000-09-21,0.8522770833333331,0.011993707999999999,0.003815553,0.005542498999999999,0.005542498999999999,0.009905876000000001,0.011992237000000001,2000-09-21,0.10692327624618055,-56.642604778999946,-12.813400960999992,-11.315444917999997,-0.6778655454361342,-0.1557772383024698,-8.638118954802046,-8.085826121899268,-7.628276019791539,-7.140549214049863,24.389323575000002,38.37461614300001,31.391517444999998,17.588033336786324,25.114998444151002,1.057176946350605,12.925426099855542,0.8648005335648818,10.573362801373737
148,2000-09-22,0.8706375000000001,0.019694289999999996,0.025930184000000002,0.009239203999999999,0.008895714,0.012814462,0.024280524,2000-09-22,0.11561091640047749,-57.84474891599994,-13.568399577999992,-11.982180102999997,-1.8436910021045279,-0.2259794037714613,-9.258849671756204,-8.218133052864685,-8.176439950176265,-7.257388747464907,24.02575823,38.144496472000014,31.203273068999998,17.01916720949791,25.20085632003842,0.8664011875401618,12.730531514030854,0.7087405865044749,10.413933537817844
149,2000-09-25,0.8771729166666669,-0.0024549710000000007,0.0005311310000000002,-0.0010966289999999998,0.0025542640000000005,0.0012276620000000002,0.002433116999999999,2000-09-25,0.11562679018850264,-57.84474891599994,-13.553598495999992,-11.969109347999998,-1.7413756762690333,-0.4157695480830199,-8.860926900745834,-8.564939627902511,-7.825036508646698,-7.563651753625751,24.02575823,38.04912615000001,31.125257457999997,16.42917496107365,25.400076906528007,0.8799966404439568,12.182151376901214,0.7198620501901685,9.965343131672917
150,2000-09-26,0.8781625000000002,0.009670704,0.00026645599999999993,0.004320031000000001,-0.0017353160000000002,-0.002980339,-0.009595089000000001,2000-09-26,0.11784334574083231,-57.082335572999945,-12.689189318999992,-11.205754289999998,-0.9618371493748494,-0.4417821164685094,-7.891989199797809,-8.629978866058925,-6.969372877830672,-7.621087552216689,23.96883975,38.52217210400001,31.512222379999997,16.18487179402247,25.44628267702232,1.3779094473307918,12.028534256447394,1.1271687586257126,9.839679998065662
151,2000-09-27,0.8830791666666666,0.0005659629999999998,-0.0002390850000000002,0.00025278299999999986,-0.00045610699999999976,-0.00020732200000000018,-0.000566559000000001,2000-09-27,0.11772682347413879,-56.87903495799994,-12.428485546999992,-10.975528201999998,-0.7458771783191143,-0.45816493283494,-7.534174472374036,-8.679243417149449,-6.653388631571187,-7.66459281016801,23.442906389,38.60690653800001,31.581537535,15.485665091747105,25.463106707634658,1.4845185127367309,11.883324230717939,1.21437797856444,9.72089410486636
152,2000-09-28,0.8830854166666664,-0.002435917000000001,-0.0007449940000000001,-0.001088173,0.001163055,0.0007970799999999999,0.0024345709999999995,2000-09-28,0.11767762140068742,-58.17332777299994,-11.493123859999992,-10.149515366999998,-2.002544335131029,-0.5259690092748386,-6.522072657989995,-8.686227555780048,-5.759607006118508,-7.670760465088929,23.077716711,39.446116941000014,32.268035295,14.957716943646389,25.45852253719451,2.327967706772016,11.776647327430354,1.9043431890735443,9.633629391748372
