,index,spot_v_HF,spot_v_MF,spot_v_LF,HF_ema_diff,MF_ema_diff,LF_ema_diff,LDN,NY,Asia,target,Date,CCY,logret
82336,99836,1.2698191812930935,0.5190724669114467,-0.47005303392776887,1.5707810229303445,-0.26844993512720533,-1.2491052349280307,0.0,1.0,0,-8.45916536587288,2015-12-11 20:00:00,1.09895,-4.549694033850749e-05
82337,99837,1.233717433241803,0.5156804612511847,-0.4708437829687202,1.5709767353520552,-0.2656430409577003,-1.2486096612985405,0.0,1.0,0,-9.263964658421232,2015-12-11 21:00:00,1.0989,-4.549901040447335e-05
82338,99838,1.302205908514879,0.5331820245652772,-0.46146408518181947,1.577918730883962,-0.26277535695484816,-1.2481045568696534,0.0,1.0,0,-9.263964658421232,2015-12-11 22:00:00,1.0994,0.00045489697368156223
82339,99839,1.27378298566396,0.5316360397241465,-0.4613431084597125,1.5812641242920689,-0.2599295435807699,-1.247599913526554,0.0,0.0,1,-8.123542936110605,2015-12-11 23:00:00,1.0994,0.0
82340,99840,1.0054257993215043,0.4807767464156703,-0.4852528275304763,1.5578407017466023,-0.2573187392906672,-1.247121650650539,0.0,0.0,1,-8.34432856953031,2015-12-14 00:00:00,1.0981,-0.0011831628228922975
82341,99841,1.0324483659597306,0.4869904347915084,-0.48142024943576794,1.5398420229601162,-0.2546947959962948,-1.2466398096380202,0.0,0.0,1,-7.19758208155267,2015-12-14 01:00:00,1.0983,0.00018211619063263076
82342,99842,0.7778102848152759,0.4362701925681873,-0.5053207592636811,1.4988914228533075,-0.252304010532348,-1.2461843045531968,0.0,0.0,1,-7.344990689837333,2015-12-14 02:00:00,1.097,-0.0011843485190700387
82343,99843,0.7052479575609211,0.41986567006082354,-0.512566400506414,1.4555516301133482,-0.24999666857402122,-1.2457371396866388,0.0,0.0,1,-6.6933902437840676,2015-12-14 03:00:00,1.0966,-0.0003646973052821162
82344,99844,0.5610130050932504,0.38834051919326235,-0.5272009056982411,1.4029879404982477,-0.2478377014906183,-1.2453062729848792,0.0,0.0,1,-6.691522028547603,2015-12-14 04:00:00,1.0958,-0.0007297938656326552
82345,99845,0.6286339190074226,0.3986638185735254,-0.5214879878154499,1.3630363488065003,-0.24564527931225352,-1.2448697422238062,0.0,0.0,1,-6.7266240947091465,2015-12-14 05:00:00,1.0961,0.00027373511736232536
82346,99846,0.7088805766571852,0.4127553431890381,-0.5139297903358899,1.3353858015947113,-0.24340328380638263,-1.24442556521339,0.0,0.0,1,-7.097832715509294,2015-12-14 06:00:00,1.0965,0.00036486363626513085
82347,99847,0.8014747140648123,0.43060143324773936,-0.5045283582577962,1.3197613051661523,-0.24109574238703366,-1.2439717640211065,1.0,0.0,0,-6.70392484515633,2015-12-14 07:00:00,1.097,0.0004558924172873152
82348,99848,0.645360661714361,0.39906209127563586,-0.5191679377001874,1.2902833274242835,-0.238936632976503,-1.2435342726233138,1.0,0.0,0,-7.063132349179832,2015-12-14 08:00:00,1.0962,-0.0007295276632141301
82349,99849,0.4980333830175973,0.3676244277272388,-0.5337978707666702,1.2494236707711237,-0.23692468502724334,-1.2431130589130057,1.0,0.0,0,-7.654005727856283,2015-12-14 09:00:00,1.0954,-0.0007300602623952074
82350,99850,0.5820627207726012,0.38182625283237653,-0.5262329588120996,1.221214696814793,-0.23486164538407137,-1.2426841713620227,1.0,0.0,0,-6.23034549420451,2015-12-14 10:00:00,1.0958,0.00036509675469456604
82351,99851,0.47319576994721574,0.3580405042726743,-0.5371603649351103,1.1851754788193523,-0.2329121270482702,-1.2422675575536994,1.0,0.0,0,-8.325534919399054,2015-12-14 11:00:00,1.0952,-0.0005476951300763672
82352,99852,0.9476620034057888,0.4519652198197962,-0.4907722710270057,1.199518272099902,-0.23056625849345877,-1.24180140639045,1.0,0.0,0,-8.10984228087494,2015-12-14 12:00:00,1.0977,0.002280086719031641
82353,99853,0.8144773933693488,0.4279744794795554,-0.501721945316659,1.1986182797553968,-0.22833637644185195,-1.2413476009271989,0.5,0.5,0,-6.528661366447005,2015-12-14 13:00:00,1.0971,-0.0005467468698255319
82354,99854,1.099957351350759,0.4875531358869603,-0.47199018651598806,1.2254399432594996,-0.2258602815111139,-1.2408622697264124,0.5,0.5,0,-7.12204683021269,2015-12-14 14:00:00,1.0987,0.0014573278833900913
82355,99855,1.2564337824681877,0.5241760735357881,-0.4533732847559669,1.2641031142632426,-0.22323864374967947,-1.2403574342053443,0.5,0.5,0,-7.922576760591133,2015-12-14 15:00:00,1.0997,0.0009097526100533963
82356,99856,1.7959688068066937,0.6403714389172832,-0.39594809445959933,1.3509507725789265,-0.22012796599285372,-1.2397912834933769,0.5,0.5,0,-7.7041844026426425,2015-12-14 16:00:00,1.1028,0.002814984832752998
82357,99857,1.6706942401429756,0.6272021813090028,-0.4014140426048978,1.415105590250878,-0.21709070116463533,-1.239231694424555,0.5,0.5,0,-7.604605038971992,2015-12-14 17:00:00,1.1025,-0.00027207182864058543
82358,99858,1.4257867692927724,0.5875162126780854,-0.4198183951253732,1.4476054100074478,-0.2142411706606219,-1.238692603806559,0.0,1.0,0,-7.496629626249674,2015-12-14 18:00:00,1.1015,-0.0009074410786033547
82359,99859,1.3284766611891805,0.5745290299892862,-0.4252665938856214,1.46675434791813,-0.2114628017523239,-1.2381600214654531,0.0,1.0,0,-5.387158023781798,2015-12-14 19:00:00,1.1012,-0.00027239297394553164
82360,99860,1.0518667021066603,0.5236381710214799,-0.44920027079752634,1.4565365031536697,-0.2089192087826866,-1.237653861571395,0.0,1.0,0,-4.782868213648316,2015-12-14 20:00:00,1.0999,-0.0011812277053811493
82361,99861,0.7926040633566106,0.47290850455540706,-0.4731190457836741,1.42210981723343,-0.20660838265019693,-1.2371740722595799,0.0,1.0,0,-5.7399646854633275,2015-12-14 21:00:00,1.0986,-0.0011826246545510175
82362,99862,0.9027775352236922,0.49443385784725563,-0.46189749620022813,1.4025880906133306,-0.2042163326724845,-1.2366827443939896,0.0,1.0,0,-6.706035832619989,2015-12-14 22:00:00,1.0992,0.000546000559564816
82363,99863,1.051684630119306,0.5253814954529121,-0.44606242078216896,1.3999788016943489,-0.20170272449509916,-1.2361749202674253,0.0,0.0,1,-5.942857026578555,2015-12-14 23:00:00,1.10005,0.0007729908308050233
82364,99864,0.864592872291023,0.4898403419879312,-0.4625880664107168,1.3792492331995363,-0.19935598387474665,-1.23568549856719,0.0,0.0,1,-6.912425611551332,2015-12-15 00:00:00,1.09915,-0.0008184794927637713
82365,99865,1.0150010372065048,0.5208157199715718,-0.4467508993316305,1.375680010791114,-0.19688729365244986,-1.2351795779206158,0.0,0.0,1,-6.865300343323526,2015-12-15 01:00:00,1.1,0.0007730259803358785
82366,99866,1.2208806632043092,0.564978384156385,-0.4244544543485401,1.3926913716287561,-0.19424024529504913,-1.2346502186788904,0.0,0.0,1,-6.428068854162581,2015-12-15 02:00:00,1.1012,0.0010903144819902203
82367,99867,1.0785674822292397,0.5407150133091606,-0.435447490583173,1.393654900952619,-0.19171199110037643,-1.2341333260491572,0.0,0.0,1,-7.1402824294088525,2015-12-15 03:00:00,1.1006,-0.0005450086427937623
82368,99868,1.2065562568081658,0.5696510960336356,-0.42055222488712546,1.4070421865304978,-0.18907159337390309,-1.2336009863161677,0.0,0.0,1,-7.517802131854671,2015-12-15 04:00:00,1.1014,0.000726612202722618
82369,99869,1.336222981529143,0.6003971210457371,-0.4047434300832777,1.4315751829905539,-0.18631182958572232,-1.2330522346461017,0.0,0.0,1,-8.729643909510841,2015-12-15 05:00:00,1.10225,0.0007714474096659069
82370,99870,1.4026605376624812,0.6196679270050557,-0.3944921168351948,1.4597640754670207,-0.18348302457515198,-1.2324930800584348,0.0,0.0,1,-8.994300411617848,2015-12-15 06:00:00,1.1028,0.0004988549115947094
82371,99871,1.531292254819233,0.6521633129828808,-0.37777735378971766,1.497338688013432,-0.18052830352943033,-1.2319165718264065,1.0,0.0,0,-9.817386907381703,2015-12-15 07:00:00,1.1037,0.0008157716291966044
82372,99872,1.783744181836085,0.7111226316657041,-0.3481322308970627,1.5554253776486078,-0.17733378928518695,-1.2313088015631144,1.0,0.0,0,-8.226230155893212,2015-12-15 08:00:00,1.1053,0.0014486195380713773
82373,99873,1.257772128259986,0.6143562709893693,-0.3942991636930459,1.5551554030613621,-0.1745749753897979,-1.230751493257135,1.0,0.0,0,-6.854291450292463,2015-12-15 09:00:00,1.1028,-0.0022643911672679817
82374,99874,1.2038973985143995,0.6070561643069445,-0.3969922473269094,1.5498327349479637,-0.17186210857462425,-1.230197742104083,1.0,0.0,0,-5.675427876708757,2015-12-15 10:00:00,1.10265,-0.00013602666143543163
82375,99875,0.7988833236215743,0.5277035618755127,-0.4348062081924425,1.5055080321751853,-0.1695068789274679,-1.2296853819085665,1.0,0.0,0,-4.9708451603253785,2015-12-15 11:00:00,1.1006,-0.0018608878625478024
82376,99876,0.8749859028211516,0.541557311576728,-0.42730202814094376,1.4740056906420662,-0.1671037512301995,-1.2291655368990633,1.0,0.0,0,-4.087501303035377,2015-12-15 12:00:00,1.101,0.00036337209702150253
82377,99877,0.6091272895970883,0.4870838044104702,-0.4530778385589153,1.4201257171972235,-0.1649488233130205,-1.2286740691435207,0.5,0.5,0,-1.147202810087704,2015-12-15 13:00:00,1.0996,-0.0012723804315893786
82378,99878,0.1528980206777709,0.3910545225144713,-0.49916997979013733,1.3276999147351167,-0.16322064113462997,-1.2282328280545707,0.5,0.5,0,0.6129440586675684,2015-12-15 14:00:00,1.0971,-0.002276142467645376
82379,99879,-0.05407763316748488,0.34085591331390275,-0.5230466356380358,1.225632864969651,-0.161718384118979,-1.2278178173931265,0.5,0.5,0,3.5712498537072803,2015-12-15 15:00:00,1.0958,-0.0011856447191297415
82380,99880,-0.6810449670674353,0.20356378979372255,-0.5894219403640991,1.0735933767804036,-0.16081791039286358,-1.2274747845241487,0.5,0.5,0,5.320269468018907,2015-12-15 16:00:00,1.0922,-0.003290679386262069
82381,99881,-0.8077691787428316,0.16154499267247463,-0.6095373369250555,0.926428655446609,-0.1601033199574561,-1.2271538057768174,0.5,0.5,0,3.7007685518349076,2015-12-15 17:00:00,1.0911,-0.001007649057000376
82382,99882,-0.4848903942232652,0.21070264164700944,-0.5852763053973018,0.8275523329871242,-0.1591787597219389,-1.2268070503193131,0.0,1.0,0,4.352959654472452,2015-12-15 18:00:00,1.0924,0.001190748938496966
82383,99883,-0.6251746825052152,0.17055944954208802,-0.6044707771909577,0.7255715356232979,-0.15843210165295704,-1.2264813598690958,0.0,1.0,0,2.5794055161769127,2015-12-15 19:00:00,1.09135,-0.0009616486144633784
82384,99884,-0.46218243093767913,0.1912457302026843,-0.5940746861671801,0.6505492475331063,-0.15759894000862723,-1.2261448357517355,0.0,1.0,0,2.3809811059772548,2015-12-15 20:00:00,1.0919,0.0005038360349340493
82385,99885,-0.37801385981124946,0.1985897290420382,-0.5901559991389796,0.5914735370365755,-0.15673753441875385,-1.2258044682178288,0.0,1.0,0,2.065296693909212,2015-12-15 21:00:00,1.0921,0.0001831501836621341
82386,99886,-0.16172547279234467,0.23436479984703745,-0.5723766900840387,0.5594130295209598,-0.15572491808573288,-1.2254453333808386,0.0,1.0,0,1.4289991077969109,2015-12-15 22:00:00,1.09305,0.0008695055807181745
82387,99887,-0.09113157870418917,0.24347327590272072,-0.5675493915300952,0.5368526502551062,-0.15467741688455344,-1.2250814047014014,0.0,0.0,1,1.1907665561167342,2015-12-15 23:00:00,1.0933,0.00022869165603810196
82388,99888,-0.05382773675463149,0.24687248060357897,-0.565495369947712,0.5194171280675453,-0.15361995521587613,-1.2247156770166179,0.0,0.0,1,1.2699764917012726,2015-12-16 00:00:00,1.0934,9.146202045977324e-05
